Country name,Access to electricity (% of population),"GDP per capita, PPP (current international $)",Population ages 0-14 (% of total population),"School enrollment, tertiary (% gross)","PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",CO2 emissions (kt)
Aruba,100,41195.97452,16.79940678,,,
Africa Eastern and Southern,48.10360869,3871.098505,41.36272914,8.850520134,30.87906935,544952.503
Afghanistan,97.7,1673.144189,43.4245427,,52.41704109,8709.47
Africa Western and Central,54.22418732,4432.453117,43.09502699,,63.35737267,215915.61
Angola,48.22385406,6523.463613,45.17910483,,28.4208104,19814.5
Albania,100,16262.66345,16.28172389,60.31758118,18.63878032,4383.2
Andorra,100,,13.07475264,15.20427036,9.066401367,448.884399
Arab World,90.84566129,15206.51594,33.2089618,33.45962906,49.22713935,1765052.9
United Arab Emirates,100,77272.99942,15.14303383,,43.66702552,188088.7
Argentina,100,23834.47312,23.35673716,107.130661,13.51118918,154535.9
Armenia,100,15676.32829,20.42255149,58.75630951,33.65637939,6746.6
American Samoa,,,27.51193516,,6.300155035,
Antigua and Barbuda,100,22622.17612,18.82116939,,17.59200058,474.6
Australia,100,57406.17876,18.37332915,112.6882935,6.745497859,378996.8
Austria,100,63421.20359,14.38549321,93.94007111,12.16821803,59142.4
Azerbaijan,100,15927.21015,23.92495311,38.86608124,25.4950546,34305
Burundi,10.23382759,787.9427787,46.29346184,6.286772251,33.27977863,713.466
Belgium,100,62107.06993,16.68811036,82.6882019,12.6724532,85364.1
Benin,41.97363281,3665.193804,42.57800421,,46.8584555,7980.4
Burkina Faso,18.95068741,2401.228086,44.0909599,9.36093998,53.67033962,5456.7
Bangladesh,98.99102783,6522.555826,26.45298372,23.40016747,63.4255285,85493.1
Bulgaria,99.8,29406.57959,13.99472906,74.02764893,19.36594583,34138.1
Bahrain,100,54901.51263,20.37719744,70.76303101,59.21710593,32470.2
"Bahamas, The",100,33614.73952,19.62255964,,15.59065792,2456
Bosnia and Herzegovina,100,18379.5525,14.91930615,43.57767868,29.46633319,20946.8
Belarus,100,21928.68576,16.84033506,73.95913696,16.42351285,54801.5
Belize,97.6921463,9740.070948,28.23568673,23.51840019,21.17639652,687.6
Bermuda,100,86699.25199,14.89834073,,7.069562328,
Bolivia,98.55622864,8885.707639,31.1219853,,26.83286559,18375.3
Brazil,99.46212006,16260.09875,20.54066758,56.83061981,11.65399121,414138.8
